Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#,lat,long,geometry,reported_date
Theft,"860 E. 59th St., Chicago, IL",2/15/24 12:07 PM,2/15/24 12:00 PM to 12:15 PM,"Unattended, unsecured purse taken",Open,24-00152,41.78777528098283,-87.60426001353119,,2024-02-15
Assault,"5800 S. University, Chicago, IL",2/16/24 1:00 PM,2/16/24 1:00 PM,Subject assaulted a UCPD officer / Prosecution declined / Subject was transported to UCMED for mental evaluation,Ex. Cleared,24-00154,41.79051067252578,-87.59813077144742,,2024-02-16
Information / Motor Vehicle Theft,"5020 S. Cornell, Chicago, IL",2/18/24 3:45 PM,2/18/24 1:20 PM to 3:30 PM,2010 Honda Taken from parking lot / CPD case JH156929,CPD,2024-006496,41.80410203351164,-87.5865531306531,,2024-02-18
Theft,"1100 E. 57th St., Chicago, IL",2/18/24 7:49 PM,2/18/24 6:30 PM to 6:40 PM,"Wallet taken from unsecured, unattended backpack left in 2nd floor cubicle",Open,24-00163,41.79148537051799,-87.59815254349274,,2024-02-18
Assault,"1100 E. 57th St., Chicago, IL",2/19/24 1:21 PM,2/19/24 1:20 PM,A person making threatening gestures and talking incoherently was detained by UCPD officers / Victims who felt threatened declined prosecution / Suspect transported to UCMED for mental evaluation,Ex. Cleared,24-00164,41.79148537051799,-87.59815254349274,,2024-02-19
Information / Armed Robbery,"5601 S. Kenwood, Chicago, IL",2/19/24 11:02 PM,2/19/24 10:55 PM,"Three unknown suspects, armed with handguns, took property from two victims walking off-campus / Suspects fled in waiting white Dodge Charger / CPD case JH158493",CPD,2024-006689,41.79325375995893,-87.5931812352888,,2024-02-19
Sexual Assault / Fondling,"5700 S. Maryland, Chicago, IL",2/20/24 12:49 PM,2/13/24 time not specified,"DSS was notified by a Campus Security Authority that an undisclosed victim reported that she was fondled by a known person / Due to confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report    24-005,41.79039920081431,-87.6050172122317,,2024-02-20
Theft,"1554 E. 55th St., Chicago, IL",2/20/24 12:00 PM,2/20/24 12:00 PM,Two suspects took merchandise from the off-campus store without paying / UCPD officer detained both suspects / Management declined prosecution,Ex. Cleared,24-00168,41.7952934540188,-87.588744563006,,2024-02-20
Information / Motor Vehicle Theft,"5048 S. Cornell, Chicago, IL",2/21/24 12:47 PM,2/21/24 12:47 PM,Two suspects took victim's car from the gas station as victim was pumping gas / CPD officers located and took the suspects into custody,CPD,2024-006900,41.80346442672152,-87.58653798440253,,2024-02-21
Information  / Theft,"1554 E. 55th St., Chicago, IL",2/21/24 5:53 PM,2/21/24 5:50 PM,Two unknown subjects took merchandise from the off-campus store without paying / Referred to CPD,Referred,2024-006930,41.7952934540188,-87.588744563006,,2024-02-21
Domestic Battery,"1154 E. 60th St., Chicago, IL",2/22/24 11:23 PM,2/22/24 11:20 PM,"During a domestic argument, one domestic partner struck the other / Victim declined prosecution",Ex. Cleared,24-00180,41.78602345609824,-87.59751426970416,,2024-02-22
Information / Robbery,"5021 S. Dorchester, Chicago, IL",2/23/24 2:12 PM,2/23/24 2:09 PM,Victim walking on the sidewalk off-campus was approached from the rear by an unknown suspect who forcibly took the victim's purse before fleeing to a waiting vehicle / CPD case JH162991,Referred,2024-007152,41.803519243368726,-87.59179413712633,,2024-02-23
Information / Theft,"1554 E. 55th St., Chicago, IL",2/24/24 3:03 PM,2/24/24 2:55 PM,An unknown person took merchandise from the off-campus store without paying / Referred to CPD,Referred,2024-007337,41.7952934540188,-87.588744563006,,2024-02-24
